word
身体
身上
心脏
肝脏
心
肝
脾
肺
肾
胃
阑尾
肠胃
肠
手
手指
手掌
手臂
手心
手背
手肘
胳臂
胳臂肘
肩膀
脖子
脑袋
头
眼睛
鼻子
嘴巴
鼻
嘴
口
耳朵
耳
眼
鼻孔
眉毛
额头
脸颊
头发
肚子
胸口
胸
小腹
下腹
腿
小腿
大腿
脚趾
脚
脚心
腰
背
