word
考试
成绩
分数
模拟考
大考
中考
高考
期末考
期中考
周考
随堂考
小考
考
检测
听写
默写
背诵
背
学习
复习
预习
作业
练习题
练习
学
功课
课堂
上课
听讲
毕设
设计
毕业
答辩
项目
论文
课题
要求
任务
